Filename,URN,Title,Author,Editor,Publisher,Publication Year,Language,Size,Location,Source
tlg0639.tlg001.1st1K-grc1.xml,urn:cts:greekLit:tlg0639.tlg001.1st1K-grc1,Menecrates Medicus,Epistula,Rudolf Hercher,A. F. Didot,1873,Greek,7143,data/tlg0639/tlg001,data
tlg0606.tlg001.1st1K-grc1.xml,urn:cts:greekLit:tlg0606.tlg001.1st1K-grc1,Ars rhetorica,Rufus Soph.,Leonhard von Spengel,Teubner,1853,Greek,33821,data/tlg0606/tlg001,data
tlg0068.tlg001.1st1K-grc1.xml,urn:cts:greekLit:tlg0068.tlg001.1st1K-grc1,"Scymni Chii, ut fertur, Periegesis",Pseudo-Scymnus,Carolus Müllerus,Ambroise-Firmin Didot,1855,Greek,99958,data/tlg0068/tlg001,data
tlg0057.tlg054.1st1K-grc1.xml,urn:cts:greekLit:tlg0057.tlg054.1st1K-grc1,De tumoribus praeter naturam,Galen,Karl Gottlob Kühn,Knobloch,1824,Greek,63204,data/tlg0057/tlg054,data
tlg0057.tlg053.1st1K-grc1.xml,urn:cts:greekLit:tlg0057.tlg053.1st1K-grc1,De marcore,Galen,Karl Gottlob Kühn,Knobloch,1824,Greek,95469,data/tlg0057/tlg053,data
tlg0057.tlg065.1st1K-grc1.xml,urn:cts:greekLit:tlg0057.tlg065.1st1K-grc1,De diebus decretoriis,Galen,Karl Gottlob Kühn,Knobloch,1825,Greek,368697,data/tlg0057/tlg065,data
tlg0057.tlg062.1st1K-grc1.xml,urn:cts:greekLit:tlg0057.tlg062.1st1K-grc1,De praesagitione ex pulsibus,Galen,Karl Gottlob Kühn,Knobloch,1825,Greek,512135,data/tlg0057/tlg062,data
tlg0057.tlg096.1st1K-grc1.xml,urn:cts:greekLit:tlg0057.tlg096.1st1K-grc1,De Humero iis Modis Prolapso quos Hippocrates non Vidit,Galen,Karl Gottlob Kühn,Knobloch,1829,Greek,148613,data/tlg0057/tlg096,data
tlg0057.tlg009.1st1K-grc2.xml,urn:cts:greekLit:tlg0057.tlg009.1st1K-grc2,De temperamentis,Galen,Georg Helmreich,B. G. Teubner,1904,Greek,477651,data/tlg0057/tlg009,data
tlg0057.tlg009.1st1K-grc1.xml,urn:cts:greekLit:tlg0057.tlg009.1st1K-grc1,De temperamentis,Galen,Karl Gottlob Kühn,Knobloch,1821,Greek,364622,data/tlg0057/tlg009,data
